2017-03-10 01:24:51 status half-installed libc6-dbg:armhf 2.19-18+deb8u1
2017-03-10 01:26:30 status half-installed libc6-dbg:armhf 2.19-18+deb8u1
2017-03-10 01:26:32 status unpacked libc6-dbg:armhf 2.19-18+deb8u7
2017-03-10 01:26:32 status unpacked libc6-dbg:armhf 2.19-18+deb8u7
2017-03-10 01:26:36 upgrade libc6:armhf 2.19-18+deb8u1 2.19-18+deb8u7
2017-03-10 01:26:36 status half-configured libc6:armhf 2.19-18+deb8u1
2017-03-10 01:26:37 status unpacked libc6:armhf 2.19-18+deb8u1
2017-03-10 01:26:37 status half-installed libc6:armhf 2.19-18+deb8u1
2017-03-10 01:27:54 status half-installed libc6:armhf 2.19-18+deb8u1
2017-03-10 01:27:55 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-10 01:27:56 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-10 01:27:58 startup packages configure
2017-03-10 01:27:58 configure libc6:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:27:58 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-10 01:27:58 status unpacked libc6:armhf 2.19-18+deb8u7
2017-03-10 01:27:58 status half-configured libc6:armhf 2.19-18+deb8u7
2017-03-10 01:28:08 status installed libc6:armhf 2.19-18+deb8u7
2017-03-10 01:28:09 status triggers-pending libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:28:09 trigproc libc-bin:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:28:09 status half-configured libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:28:36 status installed libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:28:41 startup archives unpack
2017-03-10 01:28:42 upgrade e2fslibs:armhf 1.42.12-1.1 1.42.12-2
2017-03-10 01:28:42 status half-configured e2fslibs:armhf 1.42.12-1.1
2017-03-10 01:28:42 status unpacked e2fslibs:armhf 1.42.12-1.1
2017-03-10 01:28:42 status half-installed e2fslibs:armhf 1.42.12-1.1
2017-03-10 01:28:43 status half-installed e2fslibs:armhf 1.42.12-1.1
2017-03-10 01:28:44 status unpacked e2fslibs:armhf 1.42.12-2
2017-03-10 01:28:45 status unpacked e2fslibs:armhf 1.42.12-2
2017-03-10 01:28:47 startup packages configure
2017-03-10 01:28:47 configure e2fslibs:armhf 1.42.12-2 <none>
2017-03-10 01:28:47 status unpacked e2fslibs:armhf 1.42.12-2
2017-03-10 01:28:47 status half-configured e2fslibs:armhf 1.42.12-2
2017-03-10 01:28:49 status installed e2fslibs:armhf 1.42.12-2
2017-03-10 01:28:49 status triggers-pending libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:28:50 trigproc libc-bin:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:28:50 status half-configured libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:28:51 status installed libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:28:55 startup archives unpack
2017-03-10 01:28:57 upgrade e2fsprogs:armhf 1.42.12-1.1 1.42.12-2
2017-03-10 01:28:57 status half-configured e2fsprogs:armhf 1.42.12-1.1
2017-03-10 01:28:57 status unpacked e2fsprogs:armhf 1.42.12-1.1
2017-03-10 01:28:57 status half-installed e2fsprogs:armhf 1.42.12-1.1
2017-03-10 01:28:59 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:29:05 status half-installed e2fsprogs:armhf 1.42.12-1.1
2017-03-10 01:29:05 status unpacked e2fsprogs:armhf 1.42.12-2
2017-03-10 01:29:05 status unpacked e2fsprogs:armhf 1.42.12-2
2017-03-10 01:29:05 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:29:05 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:29:35 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:29:38 startup packages configure
2017-03-10 01:29:38 configure e2fsprogs:armhf 1.42.12-2 <none>
2017-03-10 01:29:38 status unpacked e2fsprogs:armhf 1.42.12-2
2017-03-10 01:29:39 status unpacked e2fsprogs:armhf 1.42.12-2
2017-03-10 01:29:39 status half-configured e2fsprogs:armhf 1.42.12-2
2017-03-10 01:29:39 status installed e2fsprogs:armhf 1.42.12-2
2017-03-10 01:29:41 startup archives unpack
2017-03-10 01:29:42 upgrade login:armhf 1:4.2-3 1:4.2-3+deb8u3
2017-03-10 01:29:42 status half-configured login:armhf 1:4.2-3
2017-03-10 01:29:42 status unpacked login:armhf 1:4.2-3
2017-03-10 01:29:42 status half-installed login:armhf 1:4.2-3
2017-03-10 01:29:45 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:29:54 status half-installed login:armhf 1:4.2-3
2017-03-10 01:29:56 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:29:57 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:29:57 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:29:57 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:30:39 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:30:41 startup packages configure
2017-03-10 01:30:41 configure login:armhf 1:4.2-3+deb8u3 <none>
2017-03-10 01:30:41 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:41 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:41 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:41 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:41 status unpacked login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:41 status half-configured login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:42 status installed login:armhf 1:4.2-3+deb8u3
2017-03-10 01:30:44 startup archives unpack
2017-03-10 01:30:46 upgrade perl:armhf 5.20.2-3+deb8u1 5.20.2-3+deb8u6
2017-03-10 01:30:46 status half-configured perl:armhf 5.20.2-3+deb8u1
2017-03-10 01:30:46 status unpacked perl:armhf 5.20.2-3+deb8u1
2017-03-10 01:30:46 status half-installed perl:armhf 5.20.2-3+deb8u1
2017-03-10 01:31:41 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:31:47 status half-installed perl:armhf 5.20.2-3+deb8u1
2017-03-10 01:31:48 status unpacked perl:armhf 5.20.2-3+deb8u6
2017-03-10 01:31:48 status unpacked perl:armhf 5.20.2-3+deb8u6
2017-03-10 01:31:49 upgrade perl-base:armhf 5.20.2-3+deb8u1 5.20.2-3+deb8u6
2017-03-10 01:31:49 status half-configured perl-base:armhf 5.20.2-3+deb8u1
2017-03-10 01:31:49 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2017-03-10 01:31:49 status half-installed perl-base:armhf 5.20.2-3+deb8u1
2017-03-10 01:32:33 status half-installed perl-base:armhf 5.20.2-3+deb8u1
2017-03-10 01:32:33 status unpacked perl-base:armhf 5.20.2-3+deb8u6
